Account,SMP,MPI,GPU,HTC,CurrentProposal,ProposalAmount,Sum
pliu,1300000,3200000,100000,0,4600000,4600000,4600000
kjordan,200000,1940000,8000,0,2618100,2148000,2148000
ghutchison,800000,0,10000,0,810000,810000,810000
lchong,3100000,0,53000,0,3153000,3153000,3153000
rcoalson,10000,0,0,0,10000,0,0
dwaldeck,10000,0,0,0,10000,0,0
kjohnson,1700000,2700000,0,0,4400000,4400000,4400000
jdurrant,1880537,0,0,0,1880537,1880537,1880537
jvandegeest,280000,110000,0,0,280000,390000,390000
gmpourmpakis,1300000,3200000,0,0,4500000,4500000,4500000
jkeith,1300000,2000000,0,0,1300000,3300000,3300000
pgivi,0,0,0,10000,10000,0,0
cwilmer,700000,100000,0,0,800000,800000,800000
dlambrecht,503000,0,0,0,503000,503000,503000
dzuckerman,10000,0,0,0,10000,0,0
hwa,10000,0,0,0,10000,0,0
jmccarthy,10000,0,0,0,10000,0,0
mburton,10000,0,0,0,10000,0,0
mganapathiraju,10000,0,0,0,10000,0,0
sam,100000,0,0,0,-1,100000,100000
pleu,10000,0,0,0,10000,0,0
pmunro,10000,0,0,0,10000,0,0
isigal,10000,0,0,0,10000,0,0
bermentrout,10000,0,0,0,10000,0,0
pwipf,10000,0,0,0,10000,0,0
djiang,10000,0,0,0,10000,0,0
wchoyke,10000,0,0,0,10000,0,0
lis2678-2017s,10000,0,0,0,10000,0,0
gwang,1300000,3200000,100000,0,4110000,4600000,4600000
nclark,10000,0,0,0,10000,0,0
salbanesi,350000,0,30000,0,380000,380000,380000
sadowsky,25000,0,0,0,25000,25000,25000
anaimi,10000,0,0,0,10000,0,0
rmelhem,0,200000,0,0,200000,200000,200000
walsaidi,1200000,3100000,60000,200000,4360000,4560000,4560000
sperlman,10000,0,0,0,10000,0,0
abalazs,1300000,100000,50000,0,30000,1450000,1450000
slee,300000,700000,0,0,1000000,1000000,1000000
nmiskov-zivanov,10000,0,0,0,10000,0,0
abunger,40000,0,0,0,40000,40000,40000
mchikina,0,0,0,500000,500000,500000,500000
ssaxena,75000,75000,25000,0,175000,175000,175000
isenocak,0,2700000,81000,0,2781000,2781000,2781000
dpekker,10000,0,0,0,10000,0,0
gkitamura,10000,0,0,0,10000,0,0
mbedewy,10000,0,0,0,10000,0,0
rkrafty,10000,0,0,0,10000,0,0
mcolaresi,10000,0,0,0,10000,0,0
hhochheiser,10000,0,0,0,10000,0,0
chem1000-2017f,10000,0,0,0,10000,0,0
hdaqing,500000,0,100000,0,1300000,600000,600000
aeljaroudi,10000,0,0,0,10000,0,0
nsharma,10000,0,0,0,10000,0,0
hhuang,10000,0,0,0,10000,0,0
junyang,10000,0,0,0,10000,0,0
workshops,0,0,0,10000,30000,10000,10000
asher,10000,0,0,0,10000,0,0
sdickerson,0,0,24000,0,24000,24000,24000
jmillstone,10000,0,0,0,10000,0,0
hbabaee,10000,0,0,0,10000,0,0
cs1645-2017s,10000,0,0,0,10000,0,0
hban,0,0,0,10000,10000,0,0
mbarry,13000000,1500000,250000,0,2525000,14750000,14750000
jgillespie,10000,0,0,0,10000,0,0
lwang,0,0,0,10000,10000,0,0
rsingh,10000,0,0,0,10000,0,0
wlayton,10000,0,0,0,10000,0,0
nhan,10000,0,0,0,10000,0,0
ling1340-2017f,10000,0,0,0,10000,0,0
phys1321-2017f,10000,0,0,0,10000,0,0
bigriggm,10000,0,0,0,10000,0,0
rhwa,10000,0,0,0,10000,0,0
bioeng2370_2017f,10000,0,0,0,10000,0,0
biosc1540-2017f,10000,0,0,0,10000,0,0
cs3580_2017f,10000,0,0,0,10000,0,0
ece2195_2017f,10000,0,0,0,10000,0,0
chorn,10000,0,0,0,10000,0,0
tashman,10000,0,0,0,10000,0,0
jwang,1300000,0,100000,0,1400000,1400000,1400000
dcole,10000,0,0,0,10000,0,0
tbenos,10000,0,0,0,10000,0,0
dtaylor,0,0,0,10000,10000,0,0
kkoide,10000,0,0,0,10000,0,0
dkoes,10000,0,0,0,10000,0,0
jvries,10000,0,0,0,10000,0,0
lmentch,0,1500000,36000,0,1536000,1536000,1536000
ece2195_2018s,10000,0,0,0,10000,0,0
shur,10000,0,0,0,10000,0,0
rnarayanasamy,10000,0,0,0,10000,0,0
biosc1540_2018s,10000,0,0,0,10000,0,0
bandrews,10000,0,0,0,10000,0,0
bmis2526_2018s,10000,0,0,0,10000,0,0
dcoen,10000,0,0,0,10000,0,0
hpetek,10000,0,0,0,10000,0,0
xliang,10000,0,0,0,10000,0,0
mwood-vasey,10000,0,0,0,10000,0,0
wxiong,0,145000,0,0,145000,145000,145000
slyengar,0,0,0,10000,10000,0,0
webmo,10000,0,0,0,10000,0,0
pyling,10000,0,0,0,10000,0,0
tibrahim,1300000,1200000,0,0,2500000,2500000,2500000
sgarrettroe,10000,0,0,0,10000,0,0
jhanson,0,0,0,34000,34000,34000,34000
tmylovanov,10000,0,0,0,10000,0,0
cs2770_s2018,10000,0,0,0,10000,0,0
kehuichen,10000,0,0,0,10000,0,0
mth,10000,0,0,0,10000,0,0
azentner,10000,0,0,0,10000,0,0
jkitzes,10000,0,0,0,10000,0,0
dlitman,10000,0,0,0,10000,0,0
dewing,10000,0,0,0,10000,0,0
whcdh,10000,0,0,0,10000,0,0
yurulin,10000,0,0,0,10000,0,0
huiliu,10000,0,0,0,10000,0,0
acarvunis,10000,0,0,0,10000,0,0
agronenborn,10000,0,0,0,10000,0,0
amanelis,10000,0,0,0,10000,0,0
infsci2140-2018s,10000,0,0,0,10000,0,0
math1103-2018s,10000,0,0,0,10000,0,0
wchen,0,0,0,10000,10000,0,0
cbadenes,10000,0,0,0,10000,0,0
crunyan,10000,0,0,0,10000,0,0
dhanley,0,0,0,10000,10000,0,0
aberesteanu,10000,0,0,0,10000,0,0
mripoll,10000,0,0,0,10000,0,0
lis2678-2018su,10000,0,0,0,10000,0,0
pbrusilovsky,10000,0,0,0,10000,0,0
maklin,10000,0,0,0,10000,0,0
eshelef,10000,0,0,0,10000,0,0
rwalsh,10000,0,0,0,10000,0,0
pmenon,1200000,0,0,0,1200000,1200000,1200000
ckammerer,10000,0,0,0,10000,0,0
mstephens,10000,0,0,0,10000,0,0
jlevy,10000,0,0,0,10000,0,0
cssd,10000,0,0,0,10000,0,0
rmong,10000,0,0,0,10000,0,0
ajones,10000,0,0,0,10000,0,0
lborghesi,10000,0,0,0,10000,0,0
gchalasani,10000,0,0,0,10000,0,0
westpa_2018w,10000,0,0,0,10000,0,0
kkim,10000,0,0,0,10000,0,0
alabrinidis,10000,0,0,0,10000,0,0
dlebel,10000,0,0,0,10000,0,0
hborovetz,10000,0,0,0,10000,0,0
tyounghyman,10000,0,0,0,10000,0,0
biosc1540_2018f,0,0,0,10000,10000,0,0
rgihleb,10000,0,0,0,10000,0,0
bioeng2370_2018f,10000,0,0,0,10000,0,0
math2070_2018f,0,0,0,10000,10000,0,0
eprochownik,0,0,0,10000,10000,0,0
ltang,0,0,0,10000,10000,0,0
me2054,0,0,0,10000,10000,0,0
cs1645-2018f,10000,0,0,0,10000,0,0
ogiuntella,30000,0,0,0,30000,30000,30000
lzhan,10000,0,0,0,10000,0,0
cmpinf0999_2018f,10000,0,0,0,10000,0,0
ctseng,0,0,0,10000,10000,0,0
than,10000,0,0,0,10000,0,0
adallal,10000,0,0,0,10000,0,0
tjacobs,10000,0,0,0,10000,0,0
apoholek,0,0,0,40000,40000,40000,40000
dberkowitz,10000,0,0,0,10000,0,0
yding,0,0,0,10000,10000,0,0
ghollibaugh,10000,0,0,0,10000,0,0
ychen,10000,0,0,0,10000,0,0
bhooks,10000,0,0,0,10000,0,0
mhauskrecht,10000,0,0,0,10000,0,0
nurban,20000,0,0,0,20000,20000,20000
ptang,10000,0,0,0,10000,0,0
yxu,10000,0,0,0,10000,0,0
proy,10000,0,0,0,10000,0,0
bzeng,10000,0,0,0,10000,0,0
jrubin,10000,0,0,0,10000,0,0
astar,10000,0,0,0,10000,0,0
mscbio2065-2018f,0,0,0,10000,10000,0,0
mchmielus,40000,0,0,0,40000,40000,40000
cng,0,0,0,10000,10000,0,0
moberbarnscheidt,10000,0,0,0,10000,0,0
lgilbertson,0,0,0,10000,10000,0,0
jmckone,0,659000,0,0,659000,659000,659000
xjiang,10000,0,0,0,10000,0,0
clcgenomics,600000,0,0,0,610000,600000,600000
partek,100000,0,0,0,110000,100000,100000
achattopadhyay,10000,0,0,0,10000,0,0
ahoji,10000,0,0,0,10000,0,0
akuipers,10000,0,0,0,10000,0,0
alee,0,0,0,500000,500000,500000,500000
awahed,30000,0,0,0,30000,30000,30000
cchang,0,0,0,30000,30000,30000,30000
ckang,0,0,0,500000,500000,500000,500000
ciasella,10000,0,0,0,10000,0,0
clo,0,0,0,290000,290000,290000,290000
dgalson,10000,0,0,0,10000,0,0
dnormolle,10000,0,0,0,10000,0,0
dpeters,10000,0,0,0,10000,0,0
dvignali,0,0,0,10000,10000,0,0
dweeks,10000,0,0,0,10000,0,0
dwhitcomb,10000,0,0,0,10000,0,0
dyang,0,0,0,10000,10000,0,0
fambrosio,10000,0,0,0,10000,0,0
gcooper,10000,0,0,0,10000,0,0
gdelgoffe,0,0,0,10000,10000,0,0
ghatfull,0,0,0,10000,10000,0,0
ghomanics,10000,0,0,0,10000,0,0
grappocciolo,10000,0,0,0,10000,0,0
gtang,10000,0,0,0,10000,0,0
hpark,0,0,0,10000,10000,0,0
hzarour,0,0,0,50000,50000,50000,50000
jboyle,0,0,0,280000,280000,280000,280000
jgross,0,0,0,10000,10000,0,0
jho,10000,0,0,0,10000,0,0
jjeong,20000,0,0,0,20000,20000,20000
jlocker,10000,0,0,0,10000,0,0
jmartinson,10000,0,0,0,10000,0,0
jpipas,10000,0,0,0,10000,0,0
jshoemaker,10000,0,0,0,10000,0,0
jzmuda,0,0,0,10000,10000,0,0
karndt,0,0,0,10000,10000,0,0
kcuenco,10000,0,0,0,10000,0,0
kongchen,10000,0,0,0,10000,0,0
ktorok,0,0,0,40000,10000,40000,40000
mbertolet,10000,0,0,0,10000,0,0
mdeng,0,0,0,10000,10000,0,0
mnicotra,0,0,0,241920,10000,241920,241920
nlee,0,0,0,10000,10000,0,0
oweisz,10000,0,0,0,10000,0,0
pgrabowski,10000,0,0,0,10000,0,0
rduerr,0,0,0,10000,10000,0,0
